X,Y,Z,Bx,By,Bz
-1.0,-1.0,0.0,9.344923161634294e-08,3.476765702036783e-06,1.365327362403442e-08
0.0,-1.0,-1.0,-1.088171432576678e-06,0.0,0.0
-1.0,0.0,-1.0,9.876638241760882e-08,-2.754801471163345e-08,3.4688326298476337e-06
-0.9,-1.0,0.0,-5.082119676273542e-07,3.7340006607569235e-06,1.6269091357991448e-08
0.0,-0.9,-1.0,-1.1590128814710838e-06,0.0,0.0
-0.9,0.0,-1.0,-5.028582615078239e-07,-2.9612633227216225e-08,3.726476806211242e-06
-0.8,-1.0,0.0,-1.2899678031370632e-06,3.7509997580267734e-06,1.7304503939026346e-08
0.0,-0.8,-1.0,-1.213038640953693e-06,0.0,0.0
-0.8,0.0,-1.0,-1.2845923616700497e-06,-2.9769450062913986e-08,3.7440047711987094e-06
-0.7000000000000001,-1.0,0.0,-2.1530943517130104e-06,3.3809651067346204e-06,1.555882768383122e-08
0.0,-0.7000000000000001,-1.0,-1.2421547428024107e-06,0.0,0.0
-0.7000000000000001,0.0,-1.0,-2.147690011519647e-06,-2.6840322649051467e-08,3.374613320939046e-06
-0.6000000000000001,-1.0,0.0,-2.8724274695780668e-06,2.552579925870637e-06,1.0394376904543043e-08
0.0,-0.6000000000000001,-1.0,-1.239305770119558e-06,0.0,0.0
-0.6000000000000001,0.0,-1.0,-2.8669673724199e-06,-2.0246727651829736e-08,2.5469745171473593e-06
-0.5000000000000001,-1.0,0.0,-3.1701251565359035e-06,1.4043151376351303e-06,2.8350443139430063e-09
0.0,-0.5000000000000001,-1.0,-1.201130111344386e-06,0.0,0.0
-0.5000000000000001,0.0,-1.0,-3.1645724102753097e-06,-1.1091142616742795e-08,1.3995421901079049e-06
-0.40000000000000013,-1.0,0.0,-2.9216511214923895e-06,2.925441330088382e-07,-4.3432011893896096e-09
0.0,-0.40000000000000013,-1.0,-1.1309686388086124e-06,0.0,0.0
-0.40000000000000013,0.0,-1.0,-2.9159719332807273e-06,-2.227061133540778e-09,2.8866815088017773e-07
-0.30000000000000016,-1.0,0.0,-2.284568861663119e-06,-4.2992787482591345e-07,-8.383623989994266e-09
0.0,-0.30000000000000016,-1.0,-1.0408680028947826e-06,0.0,0.0
-0.30000000000000016,0.0,-1.0,-2.2787452054704314e-06,3.5199235126629455e-09,-4.32863720011151e-07
-0.20000000000000018,-1.0,0.0,-1.572829105001505e-06,-6.371354881098672e-07,-8.335937792971274e-09
0.0,-0.20000000000000018,-1.0,-9.508035455760127e-07,0.0,0.0
-0.20000000000000018,0.0,-1.0,-1.566869093193817e-06,5.145433354606459e-09,-6.391047398493656e-07
-0.1000000000000002,-1.0,0.0,-1.0525002694044306e-06,-4.275635571075751e-07,-5.0164729262362635e-09
0.0,-0.1000000000000002,-1.0,-8.840277520110486e-07,0.0,0.0
-0.1000000000000002,0.0,-1.0,-1.0464421867221299e-06,3.4421384767011823e-09,-4.2855144271630003e-07
-2.220446049250313e-16,-1.0,0.0,-8.65551783200852e-07,-1.6940658945086007e-21,1.0257039595657543e-22
0.0,-2.220446049250313e-16,-1.0,-8.594579672288516e-07,0.0,0.0
-2.220446049250313e-16,0.0,-1.0,-8.594579672288505e-07,1.1249656330721176e-22,-1.6940658945086007e-21
0.0,-1.0,0.0,-8.655517832008525e-07,0.0,0.0
0.0,0.0,-1.0,-8.594579672288499e-07,0.0,0.0
0.0,0.0,-1.0,-8.594579672288499e-07,0.0,0.0
0.09999999999999964,-1.0,0.0,-1.052500269404428e-06,4.2756355710757126e-07,5.016472926236493e-09
0.0,0.09999999999999964,-1.0,-8.843714858061516e-07,0.0,0.0
0.09999999999999964,0.0,-1.0,-1.0464421867221288e-06,-3.442138476700309e-09,4.2855144271629876e-07
0.19999999999999973,-1.0,0.0,-1.572829105001503e-06,6.371354881098667e-07,8.33593779297045e-09
0.0,0.19999999999999973,-1.0,-9.513883974039384e-07,0.0,0.0
0.19999999999999973,0.0,-1.0,-1.5668690931938132e-06,-5.145433354606161e-09,6.391047398493647e-07
0.2999999999999998,-1.0,0.0,-2.2845688616631155e-06,4.29927874825916e-07,8.383623989993752e-09
0.0,0.2999999999999998,-1.0,-1.0415448835248478e-06,0.0,0.0
0.2999999999999998,0.0,-1.0,-2.278745205470429e-06,-3.5199235126633757e-09,4.3286372001115227e-07
0.3999999999999997,-1.0,0.0,-2.9216511214923874e-06,-2.9254413300883377e-07,4.3432011893902945e-09
0.0,0.3999999999999997,-1.0,-1.1316055060774236e-06,0.0,0.0
0.3999999999999997,0.0,-1.0,-2.9159719332807273e-06,2.2270611335402964e-09,-2.886681508801737e-07
0.49999999999999956,-1.0,0.0,-3.170125156535903e-06,-1.4043151376351235e-06,-2.835044313942477e-09
0.0,0.49999999999999956,-1.0,-1.2016443701990941e-06,0.0,0.0
0.49999999999999956,0.0,-1.0,-3.1645724102753097e-06,1.1091142616743263e-08,-1.3995421901078974e-06
0.5999999999999996,-1.0,0.0,-2.8724274695780663e-06,-2.5525799258706332e-06,-1.0394376904542502e-08
0.0,0.5999999999999996,-1.0,-1.239664904622573e-06,0.0,0.0
0.5999999999999996,0.0,-1.0,-2.866967372419902e-06,2.024672765182951e-08,-2.546974517147355e-06
0.6999999999999997,-1.0,0.0,-2.153094351713013e-06,-3.380965106734616e-06,-1.5558827683831306e-08
0.0,0.6999999999999997,-1.0,-1.2423621272607226e-06,0.0,0.0
0.6999999999999997,0.0,-1.0,-2.147690011519651e-06,2.6840322649051964e-08,-3.374613320939045e-06
0.7999999999999996,-1.0,0.0,-1.2899678031370674e-06,-3.7509997580267734e-06,-1.7304503939026733e-08
0.0,0.7999999999999996,-1.0,-1.2131176659555282e-06,0.0,0.0
0.7999999999999996,0.0,-1.0,-1.284592361670056e-06,2.9769450062913152e-08,-3.7440047711987094e-06
0.8999999999999995,-1.0,0.0,-5.082119676273576e-07,-3.7340006607569248e-06,-1.6269091357991816e-08
0.0,0.8999999999999995,-1.0,-1.1589946241586751e-06,0.0,0.0
0.8999999999999995,0.0,-1.0,-5.028582615078262e-07,2.9612633227216748e-08,-3.726476806211243e-06
1.0,-1.0,0.0,9.344923161634294e-08,-3.476765702036783e-06,-1.365327362403442e-08
0.0,1.0,-1.0,-1.0880867027858203e-06,0.0,0.0
1.0,0.0,-1.0,9.876638241760882e-08,2.754801471163345e-08,-3.4688326298476337e-06
-1.0,-0.9,0.0,5.681781036548018e-07,4.449673588516517e-06,1.9158680265502147e-08
0.0,-1.0,-0.9,-1.1594261029611017e-06,0.0,0.0
-1.0,0.0,-0.9,5.73052302176478e-07,-3.5280098232883246e-08,4.440559835235607e-06
-0.9,-0.9,0.0,-1.9904214886380878e-07,5.021671863315063e-06,2.432092194254662e-08
0.0,-0.9,-0.9,-1.2196185544089974e-06,0.0,0.0
-0.9,0.0,-0.9,-1.9426483051354548e-07,-3.986621475700066e-08,5.0130000931095725e-06
-0.8,-0.9,0.0,-1.3557235057877873e-06,5.30860794200016e-06,2.767200239399038e-08
0.0,-0.8,-0.9,-1.2479876805631951e-06,0.0,0.0
-0.8,0.0,-0.9,-1.3510627019506414e-06,-4.2196627108939125e-08,5.300528926267522e-06
-0.7000000000000001,-0.9,0.0,-2.8313514615118367e-06,4.963434206656947e-06,2.6395404123106834e-08
0.0,-0.7000000000000001,-0.9,-1.2297779650843775e-06,0.0,0.0
-0.7000000000000001,0.0,-0.9,-2.8267832610700546e-06,-3.948674452858163e-08,4.956092851339563e-06
-0.6000000000000001,-0.9,0.0,-4.217721043089361e-06,3.6632777751994272e-06,1.7779248071950833e-08
0.0,-0.6000000000000001,-0.9,-1.1517010913185091e-06,0.0,0.0
-0.6000000000000001,0.0,-0.9,-4.213181360611193e-06,-2.9128262814493457e-08,3.6568063996907917e-06
-0.5000000000000001,-0.9,0.0,-4.797169481007131e-06,1.5617558545506326e-06,2.9065256501170156e-09
0.0,-0.5000000000000001,-0.9,-1.0074058464292067e-06,0.0,0.0
-0.5000000000000001,0.0,-0.9,-4.792576159810702e-06,-1.2333285465781457e-08,1.5562640438256845e-06
-0.40000000000000013,-0.9,0.0,-4.171832131827282e-06,-4.805705841043139e-07,-1.1410028984913705e-08
0.0,-0.40000000000000013,-0.9,-8.04208557588432e-07,0.0,0.0
-0.40000000000000013,0.0,-0.9,-4.167109274324809e-06,3.989837933662834e-09,-4.850095543618878e-07
-0.30000000000000016,-0.9,0.0,-2.7779859075620124e-06,-1.6043649698180544e-06,-1.8352901075324612e-08
0.0,-0.30000000000000016,-0.9,-5.680785807320205e-07,0.0,0.0
-0.30000000000000016,0.0,-0.9,-2.773079854791334e-06,1.2941681226885215e-08,-1.6077129813043384e-06
-0.20000000000000018,-0.9,0.0,-1.379092402582131e-06,-1.6619766606901722e-06,-1.684451833533378e-08
0.0,-0.20000000000000018,-0.9,-3.4258755829991783e-07,0.0,0.0
-0.20000000000000018,0.0,-0.9,-1.3739922788424234e-06,1.3355133459795466e-08,-1.6642154548107978e-06
-0.1000000000000002,-0.9,0.0,-4.440225045834074e-07,-9.950696394848562e-07,-9.682098167591661e-09
0.0,-0.1000000000000002,-0.9,-1.7896775838026278e-07,0.0,0.0
-0.1000000000000002,0.0,-0.9,-4.387741744807518e-07,7.983931961374585e-09,-9.961906217701182e-07
-2.220446049250313e-16,-0.9,0.0,-1.24480741796353e-07,-2.541098841762901e-21,-5.757177063369073e-22
0.0,-2.220446049250313e-16,-0.9,-1.1917705613401643e-07,0.0,0.0
-2.220446049250313e-16,0.0,-0.9,-1.19177056134017e-07,5.293955920339377e-23,-2.541098841762901e-21
0.0,-0.9,0.0,-1.2448074179635333e-07,0.0,0.0
0.0,0.0,-0.9,-1.19177056134016e-07,0.0,0.0
0.0,0.0,-0.9,-1.19177056134016e-07,0.0,0.0
0.09999999999999964,-0.9,0.0,-4.44022504583405e-07,9.950696394848515e-07,9.682098167591674e-09
0.0,0.09999999999999964,-0.9,-1.7942934030432168e-07,0.0,0.0
0.09999999999999964,0.0,-0.9,-4.38774174480748e-07,-7.983931961374611e-09,9.96190621770111e-07
0.19999999999999973,-0.9,0.0,-1.3790924025821224e-06,1.6619766606901675e-06,1.6844518335334247e-08
0.0,0.19999999999999973,-0.9,-3.433506547345547e-07,0.0,0.0
0.19999999999999973,0.0,-0.9,-1.3739922788424188e-06,-1.3355133459795691e-08,1.6642154548107952e-06
0.2999999999999998,-0.9,0.0,-2.777985907562008e-06,1.6043649698180565e-06,1.8352901075324586e-08
0.0,0.2999999999999998,-0.9,-5.689241590125505e-07,0.0,0.0
0.2999999999999998,0.0,-0.9,-2.773079854791327e-06,-1.2941681226885e-08,1.60771298130434e-06
0.3999999999999997,-0.9,0.0,-4.171832131827276e-06,4.805705841043211e-07,1.1410028984914113e-08
0.0,0.3999999999999997,-0.9,-8.049603887539892e-07,0.0,0.0
0.3999999999999997,0.0,-0.9,-4.167109274324804e-06,-3.989837933663221e-09,4.850095543618941e-07
0.49999999999999956,-0.9,0.0,-4.797169481007131e-06,-1.5617558545506205e-06,-2.906525650117116e-09
0.0,0.49999999999999956,-0.9,-1.0079689832643198e-06,0.0,0.0
0.49999999999999956,0.0,-0.9,-4.792576159810701e-06,1.233328546578098e-08,-1.5562640438256713e-06
0.5999999999999996,-0.9,0.0,-4.217721043089366e-06,-3.663277775199419e-06,-1.777924807195074e-08
0.0,0.5999999999999996,-0.9,-1.1520509955027968e-06,0.0,0.0
0.5999999999999996,0.0,-0.9,-4.213181360611196e-06,2.9128262814494218e-08,-3.6568063996907845e-06
0.6999999999999997,-0.9,0.0,-2.8313514615118393e-06,-4.963434206656944e-06,-2.6395404123107135e-08
0.0,0.6999999999999997,-0.9,-1.2299344400354772e-06,0.0,0.0
0.6999999999999997,0.0,-0.9,-2.826783261070059e-06,3.948674452858146e-08,-4.9560928513395606e-06
0.7999999999999996,-0.9,0.0,-1.3557235057877947e-06,-5.30860794200016e-06,-2.7672002393990254e-08
0.0,0.7999999999999996,-0.9,-1.2479916896338483e-06,0.0,0.0
0.7999999999999996,0.0,-0.9,-1.3510627019506464e-06,4.21966271089396e-08,-5.300528926267522e-06
0.8999999999999995,-0.9,0.0,-1.9904214886381343e-07,-5.0216718633150664e-06,-2.4320921942546938e-08
0.0,0.8999999999999995,-0.9,-1.2195161355953194e-06,0.0,0.0
0.8999999999999995,0.0,-0.9,-1.9426483051355257e-07,3.9866214757000574e-08,-5.013000093109576e-06
1.0,-0.9,0.0,5.681781036548018e-07,-4.449673588516517e-06,-1.9158680265502147e-08
0.0,1.0,-0.9,-1.1592588551089161e-06,0.0,0.0
1.0,0.0,-0.9,5.73052302176478e-07,3.5280098232883246e-08,-4.440559835235607e-06
-1.0,-0.8,0.0,1.43837191973668e-06,5.648859790269183e-06,2.60152614121952e-08
0.0,-1.0,-0.8,-1.2139274211658823e-06,0.0,0.0
-1.0,0.0,-0.8,1.4425659882308879e-06,-4.481274979973898e-08,5.638319065794656e-06
-0.9,-0.8,0.0,5.862032445926841e-07,6.800100793960562e-06,3.582472180061111e-08
0.0,-0.9,-0.8,-1.2484705974606296e-06,0.0,0.0
-0.9,0.0,-0.8,5.900809739849875e-07,-5.40401571571134e-08,6.790033766053299e-06
-0.8,-0.8,0.0,-1.0186753438771123e-06,7.779670664560137e-06,4.494134916899665e-08
0.0,-0.8,-0.8,-1.2246785765502196e-06,0.0,0.0
-0.8,0.0,-0.8,-1.015147274073129e-06,-6.194681063673354e-08,7.770268609519117e-06
-0.7000000000000001,-0.8,0.0,-3.58843226112982e-06,7.892628169516503e-06,4.776276605025381e-08
0.0,-0.7000000000000001,-0.8,-1.1150518177313295e-06,0.0,0.0
-0.7000000000000001,0.0,-0.8,-3.5851990229180012e-06,-6.296575129738581e-08,7.8840742504245e-06
-0.6000000000000001,-0.8,0.0,-6.6067811172342105e-06,5.9694487902540744e-06,3.4631845808582286e-08
0.0,-0.6000000000000001,-0.8,-8.93574793177576e-07,0.0,0.0
-0.6000000000000001,0.0,-0.8,-6.603698783130487e-06,-4.7652474288659036e-08,5.961919769955736e-06
-0.5000000000000001,-0.8,0.0,-8.062938780899347e-06,1.695188841648737e-06,2.652789788741372e-09
0.0,-0.5000000000000001,-0.8,-5.467775354673312e-07,0.0,0.0
-0.5000000000000001,0.0,-0.8,-8.059848413266982e-06,-1.3384526557031572e-08,1.6888486874012572e-06
-0.40000000000000013,-0.8,0.0,-6.414919240344361e-06,-2.492812129143941e-06,-2.8571735997393102e-08
0.0,-0.40000000000000013,-0.8,-8.838457287858662e-08,0.0,0.0
-0.40000000000000013,0.0,-0.8,-6.411705541949239e-06,2.0196901027395905e-08,-2.4978820714726293e-06
-0.30000000000000016,-0.8,0.0,-3.2413184697304013e-06,-4.153609420434657e-06,-3.9388924711102574e-08
0.0,-0.30000000000000016,-0.8,4.2913416906872356e-07,0.0,0.0
-0.30000000000000016,0.0,-0.8,-3.2378658819341013e-06,3.3420717200911634e-08,-4.157407697569178e-06
-0.20000000000000018,-0.8,0.0,-6.013232043195518e-07,-3.5929918906711637e-06,-3.255804065765597e-08
0.0,-0.20000000000000018,-0.8,9.161361958059177e-07,0.0,0.0
-0.20000000000000018,0.0,-0.8,-5.975699396948234e-07,2.8832621001622395e-08,-3.5955225411507194e-06
-0.1000000000000002,-0.8,0.0,9.133710559389512e-07,-1.9725931822770454e-06,-1.7570944697392207e-08
0.0,-0.1000000000000002,-0.8,1.2668033651370837e-06,0.0,0.0
-0.1000000000000002,0.0,-0.8,9.173697658477659e-07,1.5807005649053305e-08,-1.9738573820239427e-06
-2.220446049250313e-16,-0.8,0.0,1.3905388400344289e-06,-1.6940658945086007e-21,-5.39321759384574e-22
0.0,-2.220446049250313e-16,-0.8,1.394631175058536e-06,0.0,0.0
-2.220446049250313e-16,0.0,-0.8,1.3946311750585366e-06,-2.183756817139993e-22,-5.929230630780102e-21
0.0,-0.8,0.0,1.3905388400344284e-06,0.0,0.0
0.0,0.0,-0.8,1.3946311750585358e-06,0.0,0.0
0.0,0.0,-0.8,1.3946311750585358e-06,0.0,0.0
0.09999999999999964,-0.8,0.0,9.133710559389569e-07,1.972593182277038e-06,1.7570944697391178e-08
0.0,0.09999999999999964,-0.8,1.2662368739171506e-06,0.0,0.0
0.09999999999999964,0.0,-0.8,9.173697658477717e-07,-1.5807005649052637e-08,1.9738573820239317e-06
0.19999999999999973,-0.8,0.0,-6.013232043195434e-07,3.592991890671157e-06,3.255804065765574e-08
0.0,0.19999999999999973,-0.8,9.152289700791102e-07,0.0,0.0
0.19999999999999973,0.0,-0.8,-5.975699396948136e-07,-2.883262100162269e-08,3.595522541150712e-06
0.2999999999999998,-0.8,0.0,-3.241318469730396e-06,4.1536094204346586e-06,3.938892471110254e-08
0.0,0.2999999999999998,-0.8,4.2817634516021167e-07,0.0,0.0
0.2999999999999998,0.0,-0.8,-3.2378658819340878e-06,-3.3420717200911025e-08,4.157407697569175e-06
0.3999999999999997,-0.8,0.0,-6.414919240344353e-06,2.4928121291439494e-06,2.857173599739332e-08
0.0,0.3999999999999997,-0.8,-8.918127951137067e-08,0.0,0.0
0.3999999999999997,0.0,-0.8,-6.411705541949226e-06,-2.019690102739518e-08,2.4978820714726454e-06
0.49999999999999956,-0.8,0.0,-8.062938780899347e-06,-1.6951888416487099e-06,-2.6527897887407205e-09
0.0,0.49999999999999956,-0.8,-5.473158369109946e-07,0.0,0.0
0.49999999999999956,0.0,-0.8,-8.05984841326698e-06,1.3384526557030611e-08,-1.6888486874012303e-06
0.5999999999999996,-0.8,0.0,-6.606781117234223e-06,-5.9694487902540634e-06,-3.46318458085822e-08
0.0,0.5999999999999996,-0.8,-8.938448058822442e-07,0.0,0.0
0.5999999999999996,0.0,-0.8,-6.6036987831305e-06,4.7652474288659797e-08,-5.961919769955722e-06
0.6999999999999997,-0.8,0.0,-3.5884322611298267e-06,-7.892628169516498e-06,-4.7762766050253976e-08
0.0,0.6999999999999997,-0.8,-1.1150938378464552e-06,0.0,0.0
0.6999999999999997,0.0,-0.8,-3.585199022918012e-06,6.296575129738487e-08,-7.8840742504245e-06
0.7999999999999996,-0.8,0.0,-1.0186753438771197e-06,-7.77967066456014e-06,-4.4941349168997275e-08
0.0,0.7999999999999996,-0.8,-1.2245538469553176e-06,0.0,0.0
0.7999999999999996,0.0,-0.8,-1.015147274073137e-06,6.194681063673352e-08,-7.770268609519122e-06
0.8999999999999995,-0.8,0.0,5.862032445926782e-07,-6.800100793960571e-06,-3.5824721800611265e-08
0.0,0.8999999999999995,-0.8,-1.2482415582500464e-06,0.0,0.0
0.8999999999999995,0.0,-0.8,5.900809739849818e-07,5.4040157157113474e-08,-6.790033766053305e-06
1.0,-0.8,0.0,1.43837191973668e-06,-5.648859790269183e-06,-2.60152614121952e-08
0.0,1.0,-0.8,-1.2136464130724533e-06,0.0,0.0
1.0,0.0,-0.8,1.4425659882308879e-06,4.481274979973898e-08,-5.638319065794656e-06
