X,Y,Z,Bx,By,Bz
-0.1225875,0.0,0.0,0.00026131181384250377,0.0,0.0
-0.11258750000000001,0.0,0.0,0.0002636518078064921,0.0,0.0
-0.10258750000000001,0.0,0.0,0.00026581526626566634,0.0,0.0
-0.09258750000000002,0.0,0.0,0.00026779622198795335,0.0,0.0
-0.08258750000000002,0.0,0.0,0.0002695892432331054,0.0,0.0
-0.07258750000000003,0.0,0.0,0.0002711894460150129,0.0,0.0
-0.06258750000000003,0.0,0.0,0.0002725925021141218,0.0,0.0
-0.05258750000000004,0.0,0.0,0.0002737946435083196,0.0,0.0
-0.04258750000000004,0.0,0.0,0.00027479266397016546,0.0,0.0
-0.03258750000000005,0.0,0.0,0.00027558391861450655,0.0,0.0
-0.022587500000000052,0.0,0.0,0.00027616632217102776,0.0,0.0
-0.012587500000000057,0.0,0.0,0.0002765383467015014,0.0,0.0
-0.002587500000000062,0.0,0.0,0.0002766990193844446,0.0,0.0
0.0,0.0,0.0,0.00027670611064851324,0.0,0.0
0.007412499999999947,0.0,0.0,0.0002766479208561553,0.0,0.0
0.017412499999999928,0.0,0.0,0.00027638518443444957,0.0,0.0
0.02741249999999991,0.0,0.0,0.0002759114963694735,0.0,0.0
0.03741249999999992,0.0,0.0,0.00027522809707545046,0.0,0.0
0.04741249999999993,0.0,0.0,0.0002743367831094424,0.0,0.0
0.05741249999999991,0.0,0.0,0.0002732399094892906,0.0,0.0
0.06741249999999989,0.0,0.0,0.0002719403917931009,0.0,0.0
0.0774124999999999,0.0,0.0,0.00027044170736575235,0.0,0.0
0.08741249999999991,0.0,0.0,0.0002687478948807048,0.0,0.0
0.09741249999999989,0.0,0.0,0.0002668635514722378,0.0,0.0
0.10741249999999987,0.0,0.0,0.00026479382666591154,0.0,0.0
0.11741249999999988,0.0,0.0,0.0002625444123925626,0.0,0.0
