Time (UTC),ECI X (km),ECI Y (km),ECI Z (km),ECEF X (km),ECEF Y (km),ECEF Z (km),Latitude (deg),Longitude (deg),Altitude (m),B N,B E,B D,Bx ECEF (nT),By ECEF (nT),Bz ECEF (nT),Bx ECI (nT),By ECI (nT),Bz ECI (nT)
2025-01-15 00:00:00,4731.526427338995,-5047.962050436734,-14.729209036729232,-6563.21159822216,-2189.4101288289617,-14.729209036729232,-0.12273303588211824,-161.55190821851647,540640.4564604117,1530.6239854970954,-2611.5239044545665,22002.567091991186,20042.30853149996,9438.876668140718,1577.7520394165265,-16949.97664966133,14264.810394959439,1577.7520394165265
2025-01-15 00:04:48,4298.181721533616,-4987.063290440583,2118.5530268191333,-6363.661505436731,-1687.8917673857081,2118.5530268191333,17.941215065406567,-165.14497389306234,540049.6386756031,-3769.696088959554,-1458.8081383764418,23044.7975201879,19695.02950852904,6733.142545851732,-10685.131101188239,-14660.169125229324,14775.277902776019,-10685.131101188239
2025-01-15 00:09:36,3438.5780443597464,-4431.588236559864,4041.159703784793,-5511.577919559313,-1041.7783364012205,4041.159703784793,35.939437665706755,-169.29643807844897,542495.2709491113,-12108.219185254553,-1615.4551850324644,21833.858661637347,10086.8894487184,3550.646784031852,-22618.214341847335,-7756.530746450102,7361.2948667334695,-22618.214341847335
2025-01-15 00:14:24,2238.0967262617028,-3436.8020354759074,5562.09149820889,-4087.132134890231,-340.6407185031055,5562.09149820889,53.76530999612821,-175.23571269677734,546421.3043617988,-22546.842893312547,-2206.367132931571,15968.525736977019,-8900.46932188649,1472.210190235287,-26207.5606953303,2924.624068995189,-8534.186021474408,-26207.5606953303
2025-01-15 00:19:12,815.9380054508332,-2101.622901311713,6530.672376659212,-2230.8797879645595,325.19074357698025,6530.672376659212,71.06380822237456,171.7065239907286,549833.17548043,-28215.480740796513,-1065.3944395671972,-10578.310143020386,-29652.616591137274,5399.054585261676,849.4722552402782,9908.398232981519,-28464.91007490228,849.4722552402782
2025-01-15 00:24:00,-686.9750342051376,-558.4667115880554,6851.255388657395,-129.23844423878785,875.8522649989917,6851.255388657395,82.6817919362902,98.39384325430885,551119.2132706847,15102.460637883387,1247.4967187711763,43382.735471690816,1759.1952476802828,-20467.971936798847,-41105.59158148459,16698.142937226778,11966.815180865357,-41105.59158148459
2025-01-15 00:28:48,-2121.931575022185,1039.932939832647,6492.249102919021,2004.5843277389988,1251.2776675895275,6492.249102919021,70.11302007848226,31.972741960206115,549688.7531746682,24335.128003240516,877.9783919506536,28806.557694590112,-28189.82898499364,-16561.332488293418,-18810.711714647885,28961.547515076803,-15171.45205716774,-18810.711714647885
2025-01-15 00:33:36,-3346.894331993207,2535.4079479987695,5489.034884387536,3952.239713685127,1417.672874069929,5489.034884387536,52.7569178974564,19.73296786933661,546200.9289780073,27438.529199571505,617.2642885237352,15350.182964309763,-29513.195973153022,-9930.643252978209,4385.841413885495,24443.584297373643,-19291.386644428807,4385.841413885495
2025-01-15 00:38:24,-4240.352596583837,3779.7461727862355,3940.696900118393,5512.587523975236,1370.5656002395722,3940.696900118393,34.91664279744775,13.96205761568786,542309.0481707612,27097.020761853873,1148.4810836635106,6992.522756030407,-20893.14731399193,-4011.1080495937686,18216.759453640258,15093.923355469324,-14992.867311121705,18216.759453640258
2025-01-15 00:43:12,-4713.442391716178,4649.372886458096,2000.65481648345,6522.795564632794,1134.1716974803958,2000.65481648345,16.912419030921516,9.863866988974861,540004.682346818,25829.590532171875,541.9638521447513,-173.61474016684878,-7332.1910048942555,-724.8122782710706,24762.981165112433,4850.636170313735,-5545.96308266011,24762.981165112433
2025-01-15 00:48:00,-4719.094570400891,5057.915829318748,-138.339212383341,6875.980420409733,757.1389297891888,-138.339212383341,-1.1527788770430283,6.283729166661645,540795.1917100269,23690.44123327095,-1293.4038974837247,-4964.408582982282,5548.900769471654,-690.2121180758578,23585.770276386924,-2765.438492179618,4859.942639924179,23585.770276386924
2025-01-15 00:52:48,-4257.000237368018,4965.135886861237,-2263.6223490737725,6533.108345732512,305.15690860422046,-2263.6223490737725,-19.20094094665474,2.674301911190653,545042.1482745921,21028.322088351186,-3836.95106198263,-6894.724614416182,13591.420440777285,-3206.2887159260104,17590.98501745344,-5826.679863183603,12690.815525403548,17590.98501745344
2025-01-15 00:57:36,-3373.5938759129053,4380.974829633066,-4164.342354186048,5527.386346551213,-148.58086496845817,-4164.342354186048,-37.154820205579625,-1.5397886773849616,551750.4556081314,18945.18512157199,-5997.069120576503,-5319.0746357687985,15514.865194996213,-6416.288236314864,11886.86819806237,-4816.196850854616,16083.657688604151,11886.86819806237
2025-01-15 01:02:24,-2157.0236333298335,3364.187145634871,-5652.800942939023,3960.51577412792,-533.6861516680553,-5652.800942939023,-54.90777130787213,-7.674474244216935,558906.9910902269,18053.384589440142,-5490.5802859000705,-2651.854224670967,15417.107925732193,-7617.686231147743,8208.966897799153,-4173.898130152397,16682.174160132803,8208.966897799153
2025-01-15 01:07:12,-727.9034242831783,2015.9286687486167,-6582.87932653287,1991.5482823757834,-792.178787605307,-6582.87932653287,-72.06910568597628,-21.69119424406391,564219.5337381391,17229.677732199776,-1147.2745020227453,-6264.537483399496,16600.07662593071,-7837.722407375147,-655.7643612824095,-5143.16410516351,17622.153656951217,-655.7643612824095
2025-01-15 01:12:00,772.835652368588,469.37378727085775,-6863.762276053265,-179.89740869490964,-886.1284444671811,-6863.762276053265,-82.5409296376701,-101.4759410679776,565948.8030278403,24218.19745431314,7917.548099820961,-28347.240170953206,2249.5149037847887,-28714.85222283042,-24963.405730737988,19559.759942407465,21142.820211048744,-24963.405730737988
2025-01-15 01:16:48,2197.6046998051206,-1123.3158716320427,-6468.106727565559,-2333.947647028337,-802.4919594593443,-6468.106727565559,-69.23198397343073,-161.02525723668194,563524.622532323,-10487.43143050269,-2070.5389657058977,14741.239806574187,13542.918277156341,6846.036614990803,10064.722939922363,-14328.075923240038,4998.509091058964,10064.722939922363
2025-01-15 01:21:36,3406.1599296947966,-2605.4667203528165,-5434.4386391520375,-4252.373074655667,-554.7121158475272,-5434.4386391520375,-51.89443339223701,-172.56786656831267,557744.6833271794,-16384.727463014104,-5778.347442581907,7994.995051144795,16929.339445170997,8035.696654386006,-3820.155010092928,-17669.838263200374,6241.135355323829,-3820.155010092928
2025-01-15 01:26:24,4278.987707175101,-3830.789527866616,-3863.767677988449,-5740.378005398785,-180.95458021842524,-3863.767677988449,-34.0950002389377,-178.1944566127235,550496.1477353489,-18402.590346339603,-5757.755213532901,7630.3543099682065,16444.975907899883,6279.012084376364,-10962.032570771502,-16234.106539240944,6805.660161933332,-10962.032570771502
2025-01-15 01:31:12,4729.091925222719,-4677.648955470491,-1910.4417825722292,-6646.551905039783,260.87920851022363,-1910.4417825722292,-16.119028392815572,177.7522768117479,544084.5064357771,-21589.78409270463,-3437.5480606684014,5989.534092689165,11873.901591177335,2974.1406689644823,-19078.128335105117,-10769.864369521327,5817.651861177936,-19078.128335105117
2025-01-15 01:36:00,4711.024223297967,-5061.417027908319,232.465506769023,-6878.984462124171,700.9025130178461,232.465506769023,1.9374792977145643,174.1821872245695,540393.7222470054,-24356.583275524055,-1001.0304551619286,488.2502620232399,-232.30121919142874,1029.8824800335308,-24359.16618788393,-504.16323910123117,-927.5997021651069,-24359.16618788393
2025-01-15 01:40:48,4225.936510433354,-4943.423788701353,2352.2325136848253,-6415.430580241949,1066.877975688179,2352.2325136848253,19.998030732343963,170.55819031585892,540196.3521322282,-24596.940037418473,708.3766157446349,-8116.39711280817,-15937.791564312478,1932.3295533177707,-20338.143014464207,10960.352555923944,-11731.060024564988,-20338.143014464207
2025-01-15 01:45:36,3321.756605444606,-4335.18527063524,4238.091373961632,-5305.872504053395,1294.4555794919243,4238.091373961632,37.983167685283846,166.28957027541352,542904.7425633557,-20898.992434284435,1020.060483706046,-18874.703960086474,-27190.130199044324,5583.504547246929,-4856.351971335216,17680.79444423971,-21397.855291842956,-4856.351971335216
2025-01-15 01:50:24,2088.3078598960024,-3297.2294608971984,5702.738831424847,-3666.9355685791616,1336.5385783436523,5702.738831424847,55.777532835885275,159.97402167128763,546872.8370775459,-10897.323198409036,496.83211316091905,-29876.996969912838,-24422.99491862208,8372.980769052338,18575.35881821593,14231.652505308799,-21541.80945793779,18575.35881821593
2025-01-15 01:55:12,648.0395231298916,-1932.7398620166966,6601.129486586252,-1668.9874365358219,1170.4356173888093,6601.129486586252,72.93845879301409,144.9586022774845,550109.005152991,21925.65963687947,979.8931733680531,-32485.122384218204,8795.23594780386,-7364.800291353605,37488.41766135336,-2704.4382662128573,11148.204894659364,37488.41766135336
2025-01-15 02:00:00,-856.3630840866348,-376.99954075274485,6844.5761142730935,482.18888616561844,801.8605013171017,6844.5761142730935,82.26314001984825,58.9799237565083,551091.953753639,10708.10646076712,1393.6914499861136,45229.54771402915,-9800.318496239417,-13593.110970003145,-43376.249235935255,15845.61991726933,5453.002650649438,-43376.249235935255
