n_spires,points,execution_time
1,1,138.12244987487793
1,2,83.2020514011383
1,3,65.7110984325409
1,4,56.722047090530396
1,5,51.09730052947998
1,6,46.65280079841614
1,7,44.20352363586426
1,8,42.90180206298828
1,9,41.33574628829956
1,10,38.79401731491089
1,11,38.60683536529541
1,12,37.523582458496094
1,13,34.40211248397827
1,14,35.4250283241272
1,15,35.04523730278015
1,16,33.6339430809021
1,17,33.55031657218933
1,18,33.897355794906616
1,19,33.11861252784729
1,20,33.693286418914795
1,21,32.79509520530701
1,22,32.05874156951904
1,23,32.54833793640137
1,24,32.111323833465576
1,25,30.169245958328247
1,26,31.039182901382446
1,27,31.52271580696106
1,28,31.108396530151367
1,29,29.93644428253174
1,30,30.997999906539917
1,31,30.624854564666748
1,32,31.782564878463745
1,33,31.238816738128662
1,34,29.828378677368164
1,35,30.814724683761597
1,36,30.730277061462402
1,37,31.391982793807983
1,38,30.713012218475342
1,39,31.41117787361145
1,40,31.247750759124756
1,41,30.973745584487915
1,42,31.327404260635376
1,43,31.89473056793213
1,44,31.096797227859497
1,45,31.722334623336792
1,46,31.0009925365448
1,47,31.28908658027649
1,48,31.350911617279053
1,49,31.147830963134766
1,50,31.52062726020813
1,51,31.14598774909973
1,52,30.85964608192444
1,53,31.033000707626343
1,54,31.067915678024292
1,55,31.571780920028687
1,56,31.361311435699463
1,57,31.7589373588562
1,58,31.76348304748535
1,59,31.548590421676636
1,60,31.683411836624146
1,61,31.417312383651733
1,62,31.59904932975769
1,63,31.342122793197632
1,64,31.646318197250366
1,65,31.899458408355713
1,66,31.733783960342407
1,67,31.602022886276245
1,68,31.78300714492798
1,69,31.3585102558136
1,70,31.086042642593384
1,71,31.72053575515747
1,72,31.52077007293701
1,73,31.45551633834839
1,74,31.80986213684082
1,75,30.630173444747925
1,76,30.687793970108032
1,77,30.92148733139038
1,78,31.09234094619751
1,79,31.064303398132324
1,80,30.98071837425232
1,81,30.97327733039856
1,82,30.418853521347046
1,83,30.5124831199646
1,84,30.818305730819702
1,85,30.69487738609314
1,86,30.24735975265503
1,87,30.210542678833008
1,88,30.316860675811768
1,89,30.46966528892517
1,90,30.160890817642212
1,91,30.211626052856445
1,92,29.870715141296387
1,93,30.43562626838684
1,94,30.31883931159973
1,95,31.053895235061646
1,96,30.609400749206543
1,97,29.595337629318237
1,98,30.18666934967041
1,99,30.08784580230713
2,1,146.86559104919434
2,2,90.0082619190216
2,3,71.14024496078491
2,4,61.758217334747314
