X,Y,Z,Bx,By,Bz,B_norm
-0.8,-0.8,0.0,7.4732644441570995e-06,1.8155624748363104e-05,1.1810848560957527e-07,1.9633907941875722e-05
-0.8,-0.792,0.0,7.792284430784443e-06,1.8376984845754985e-05,1.1901423888307719e-07,1.9961148089736997e-05
-0.8,-0.784,0.0,8.120304408618306e-06,1.8596619156451237e-05,1.1989918935500462e-07,2.0292559315037693e-05
-0.8,-0.776,0.0,8.457416783728527e-06,1.8814220458194804e-05,1.20762053299053e-07,2.0628072463920762e-05
-0.8,-0.768,0.0,8.803701975673255e-06,1.9029469252070784e-05,1.2160152985210743e-07,2.096760967359043e-05
-0.8,-0.76,0.0,9.159227369641755e-06,1.924203404350202e-05,1.2241630304743214e-07,2.1311084108776286e-05
-0.8,-0.752,0.0,9.524046254003698e-06,1.9451571707383448e-05,1.2320504399154004e-07,2.16583997197103e-05
-0.8,-0.744,0.0,9.898196749910784e-06,1.965772794211746e-05,1.2396641318241082e-07,2.2009451024908534e-05
-0.8,-0.736,0.0,1.028170074036477e-05,1.986013781687928e-05,1.2469906296544983e-07,2.2364122922130446e-05
-0.8,-0.728,0.0,1.067456280692308e-05,2.005842641589513e-05,1.254016401227813e-07,2.272229053093395e-05
-0.8,-0.72,0.0,1.1076769182943078e-05,2.0252209582859258e-05,1.2607278859006887e-07,2.308381907025518e-05
-0.8,-0.712,0.0,1.1488286732954733e-05,2.0441094767840185e-05,1.2671115229411154e-07,2.3448563774408932e-05
-0.8,-0.704,0.0,1.1909061968379596e-05,2.0624681978135478e-05,1.2731537810310024e-07,2.3816369850828088e-05
-0.8,-0.696,0.0,1.2339020110364696e-05,2.0802564833528428e-05,1.2788411888043168e-07,2.4187072482733412e-05
-0.8,-0.688,0.0,1.2778064210953376e-05,2.097433172528159e-05,1.2841603663162763e-07,2.4560496879742994e-05
-0.8,-0.6799999999999999,0.0,1.3226074344152486e-05,2.1139567076984913e-05,1.289098057329106e-07,2.4936458379196656e-05
-0.8,-0.6719999999999999,0.0,1.3682906878656647e-05,2.1297852704063368e-05,1.2936411622875791e-07,2.5314762600675054e-05
-0.8,-0.6639999999999999,0.0,1.4148393844038976e-05,2.1448769267363e-05,1.297776771847396e-07,2.5695205655843873e-05
-0.8,-0.6559999999999999,0.0,1.4622342402094376e-05,2.159189781478646e-05,1.3014922008099148e-07,2.6077574415343064e-05
-0.8,-0.6479999999999999,0.0,1.5104534434713775e-05,2.1726821403465155e-05,1.3047750223062373e-07,2.646164683397679e-05
-0.8,-0.6399999999999999,0.0,1.5594726259161283e-05,2.1853126793457307e-05,1.3076131020668382e-07,2.6847192334941528e-05
-0.8,-0.6319999999999999,0.0,1.6092648480913547e-05,2.1970406202477597e-05,1.309994632604739e-07,2.7233972253262828e-05
-0.8,-0.6239999999999999,0.0,1.6598005993295923e-05,2.2078259109724854e-05,1.31190816713447e-07,2.7621740338002344e-05
-0.8,-0.6159999999999999,0.0,1.7110478132013674e-05,2.217629409551022e-05,1.313342653044592e-07,2.8010243312151407e-05
-0.8,-0.6079999999999999,0.0,1.762971899133173e-05,2.2264130702132937e-05,1.314287464738286e-07,2.8399221488455994e-05
-0.8,-0.5999999999999999,0.0,1.815535790711538e-05,2.2341401300336824e-05,1.314732435654628e-07,2.8788409438729373e-05
-0.8,-0.5919999999999999,0.0,1.8687000110220483e-05,2.2407752944741845e-05,1.3146678892834866e-07,2.9177536713515728e-05
-0.8,-0.5839999999999999,0.0,1.9224227551837227e-05,2.246284920090891e-05,1.314084668988536e-07,2.9566328608279457e-05
-0.8,-0.5759999999999998,0.0,1.9766599900373863e-05,2.2506371926195094e-05,1.3129741664567714e-07,2.9954506971627834e-05
-0.8,-0.5679999999999998,0.0,2.0313655707346134e-05,2.2538022986312266e-05,1.3113283485966586e-07,3.0341791050439237e-05
-0.8,-0.5599999999999998,0.0,2.086491373755284e-05,2.2557525889532982e-05,1.3091397827166033e-07,3.0727898366178234e-05
-0.8,-0.5519999999999998,0.0,2.1419874456606707e-05,2.2564627320813916e-05,1.306401659822008e-07,3.111254561614948e-05
-0.8,-0.5439999999999998,0.0,2.1978021666697318e-05,2.255909855872625e-05,1.3031078158801645e-07,3.149544959297993e-05
-0.8,-0.5359999999999998,0.0,2.2538824279332758e-05,2.2540736759007235e-05,1.2992527509151705e-07,3.187632811524263e-05
-0.8,-0.5279999999999998,0.0,2.3101738211785437e-05,2.250936608975878e-05,1.2948316458075216e-07,3.225490096184702e-05
-0.8,-0.5199999999999998,0.0,2.366620839209942e-05,2.24648387048135e-05,1.2898403766888182e-07,3.263089080263573e-05
-0.8,-0.5119999999999998,0.0,2.423167085584367e-05,2.2407035543536404e-05,1.2842755268378842e-07,3.300402411754566e-05
-0.8,-0.5039999999999998,0.0,2.4797554916358795e-05,2.233586694730757e-05,1.2781343960015393e-07,3.337403209672154e-05
-0.8,-0.4959999999999998,0.0,2.5363285389074075e-05,2.2251273085100636e-05,1.2714150070826513e-07,3.3740651514108985e-05
-0.8,-0.48799999999999977,0.0,2.5928284849600782e-05,2.2153224182891712e-05,1.2641161101554607e-07,3.410362556730435e-05
-0.8,-0.47999999999999976,0.0,2.649197590475304e-05,2.204172055406245e-05,1.2562371837883612e-07,3.446270467679538e-05
-0.8,-0.47199999999999975,0.0,2.7053783455424932e-05,2.1916792430444693e-05,1.247778433674199e-07,3.4817647238181056e-05
-0.8,-0.46399999999999975,0.0,2.7613136930368528e-05,2.1778499596149688e-05,1.2387407885870533e-07,3.516822032150884e-05
-0.8,-0.45599999999999974,0.0,2.8169472470365614e-05,2.1626930828775318e-05,1.2291258937041426e-07,3.5514200312493934e-05
-0.8,-0.44799999999999973,0.0,2.8722235043060787e-05,2.1462203154946454e-05,1.2189361013512855e-07,3.585537349108519e-05
-0.8,-0.4399999999999997,0.0,2.927088046979912e-05,2.1284460929366488e-05,1.2081744592469837e-07,3.619153654359311e-05
-0.8,-0.4319999999999997,0.0,2.9814877347168795e-05,2.109387474860165e-05,1.196844696340672e-07,3.65224970053895e-05
-0.8,-0.4239999999999997,0.0,3.035370884755201e-05,2.089064021264678e-05,1.1849512063536693e-07,3.6848073632007227e-05
-0.8,-0.4159999999999997,0.0,3.088687438479638e-05,2.0674976548900513e-05,1.1724990291497393e-07,3.716809669729552e-05
-0.8,-0.4079999999999997,0.0,3.1413891133099684e-05,2.0447125114484463e-05,1.15949383007507e-07,3.748240821811e-05
-0.8,-0.3999999999999997,0.0,3.1934295389300276e-05,2.020734779386036e-05,1.1459418774191968e-07,3.779086210581842e-05
-0.8,-0.3919999999999997,0.0,3.244764377094526e-05,1.995592530941999e-05,1.1318500181609141e-07,3.8093324245672605e-05
-0.8,-0.3839999999999997,0.0,3.2953514244720016e-05,1.9693155463143487e-05,1.117225652171837e-07,3.838967250581961e-05
-0.8,-0.37599999999999967,0.0,3.345150698202254e-05,1.9419351327550377e-05,1.1020767050566866e-07,3.867979667839238e-05
-0.8,-0.36799999999999966,0.0,3.394124504061314e-05,1.91348394040116e-05,1.0864115998174335e-07,3.8963598355720474e-05
-0.8,-0.35999999999999965,0.0,3.442237487332701e-05,1.8839957766073963e-05,1.0702392275306049e-07,3.924099074523153e-05
-0.8,-0.35199999999999965,0.0,3.4894566666769635e-05,1.853505420478769e-05,1.0535689172297866e-07,3.951189842706475e-05
-0.8,-0.34399999999999964,0.0,3.535751451469553e-05,1.8220484392154922e-05,1.0364104051857409e-07,3.977625705879006e-05
-0.8,-0.33599999999999963,0.0,3.581093643237403e-05,1.7896610077759923e-05,1.018773803776232e-07,4.003401303191505e-05
-0.8,-0.3279999999999996,0.0,3.625457421966038e-05,1.7563797332432237e-05,1.0006695701335135e-07,4.0285123085073266e-05
-0.8,-0.3199999999999996,0.0,3.668819318169431e-05,1.722241485146685e-05,9.821084747534215e-08,4.0529553878915434e-05
-0.8,-0.3119999999999996,0.0,3.711158171714737e-05,1.687283232851136e-05,9.631015702462384e-08,4.0767281537783597e-05
-0.8,-0.3039999999999996,0.0,3.752455078472283e-05,1.6515418909763168e-05,9.436601603988741e-08,4.099829116323251e-05
-0.8,-0.2959999999999996,0.0,3.792693325918882e-05,1.6150541736629995e-05,9.237957697136177e-08,4.122257632438603e-05
-0.8,-0.2879999999999996,0.0,3.831858318860028e-05,1.5778564583520777e-05,9.035201135774163e-08,4.144013852998048e-05
-0.8,-0.2799999999999996,0.0,3.869937496455209e-05,1.539984659598095e-05,8.828450692056905e-08,4.1650986686763004e-05
-0.8,-0.2719999999999996,0.0,3.9069202417315184e-05,1.5014741132983159e-05,8.617826474954713e-08,4.18551365486837e-05
-0.8,-0.26399999999999957,0.0,3.942797784756219e-05,1.462359471585656e-05,8.403449659096527e-08,4.2052610161060156e-05
-0.8,-0.25599999999999956,0.0,3.977563100609802e-05,1.4226746085094529e-05,8.185442225044081e-08,4.2243435303600256e-05
-0.8,-0.24799999999999955,0.0,4.011210803260399e-05,1.3824525365139354e-05,7.96392671198048e-08,4.2427644935861605e-05
-0.8,-0.23999999999999955,0.0,4.0437370363889506e-05,1.3417253336208614e-05,7.739025983683967e-08,4.2605276648399884e-05
-0.8,-0.23199999999999954,0.0,4.0751393621552064e-05,1.3005240811307872e-05,7.510863008549418e-08,4.277637212252923e-05
-0.8,-0.22399999999999953,0.0,4.105416648828604e-05,1.2588788115773067e-05,7.279560654266684e-08,4.2940976601284575e-05
-0.8,-0.21599999999999953,0.0,4.134568958137566e-05,1.216818466599838e-05,7.045241497687989e-08,4.309913837384792e-05
-0.8,-0.20799999999999952,0.0,4.162597433117261e-05,1.1743708643436887e-05,6.80802765026739e-08,4.325090827538104e-05
-0.8,-0.1999999999999995,0.0,4.189504187160703e-05,1.1315626759499914e-05,6.568040599364285e-08,4.33963392038977e-05
-0.8,-0.1919999999999995,0.0,4.215292194903198e-05,1.0884194106627513e-05,6.32540106559052e-08,4.353548565551774e-05
-0.8,-0.1839999999999995,0.0,4.239965185495928e-05,1.0449654090545674e-05,6.080228876266221e-08,4.366840327916889e-05
-0.8,-0.1759999999999995,0.0,4.2635275387526924e-05,1.0012238438560784e-05,5.8326428549842524e-08,4.3795148451547926e-05
-0.8,-0.16799999999999948,0.0,4.285984184584886e-05,9.572167278657774e-06,5.582760727150759e-08,4.391577787291849e-05
-0.8,-0.15999999999999948,0.0,4.307340506074562e-05,9.129649284158085e-06,5.330699041317189e-08,4.4030348184110704e-05
-0.8,-0.15199999999999947,0.0,4.327602246474476e-05,8.684881878747301e-06,5.076573106036403e-08,4.413891560489832e-05
-0.8,-0.14399999999999946,0.0,4.346775420367525e-05,8.238051496791467e-06,4.820496941873882e-08,4.424153559376067e-05
-0.8,-0.13599999999999945,0.0,4.3648662291667e-05,7.789333894015722e-06,4.562583248189398e-08,4.433826252889308e-05
-0.8,-0.12799999999999945,0.0,4.381880981090111e-05,7.338894503813561e-06,4.302943384193947e-08,4.4429149410203716e-05
-0.8,-0.11999999999999944,0.0,4.397826015704484e-05,6.8868888346775485e-06,4.041687363769241e-08,4.4514247581932665e-05
-0.8,-0.11199999999999943,0.0,4.4127076330943186e-05,6.4334629044897295e-06,3.778923863473265e-08,4.459360647544543e-05
-0.8,-0.10399999999999943,0.0,4.426532027682665e-05,5.9787537076717235e-06,3.5147602431089614e-08,4.466727337168674e-05
-0.8,-0.09599999999999942,0.0,4.439305226703275e-05,5.522889711467068e-06,3.249302578207543e-08,4.473529318273498e-05
-0.8,-0.08799999999999941,0.0,4.4510330333019584e-05,5.065991377904661e-06,2.982655703742511e-08,4.479770825186298e-05
-0.8,-0.0799999999999994,0.0,4.461720974227788e-05,4.608171708267312e-06,2.714923268346302e-08,4.4854558171496085e-05
-0.8,-0.0719999999999994,0.0,4.471374252061472e-05,4.149536807160216e-06,2.4462077983064545e-08,4.490587961845382e-05
-0.8,-0.06399999999999939,0.0,4.479997701918687e-05,3.690186463534591e-06,2.1766107705688654e-08,4.4951706205869096e-05
-0.8,-0.055999999999999384,0.0,4.487595752560306e-05,3.2302147462711483e-06,1.906232693977924e-08,4.4992068351200146e-05
-0.8,-0.047999999999999376,0.0,4.4941723918385065e-05,2.769710612160795e-06,1.6351731979547328e-08,4.502699315977694e-05
-0.8,-0.03999999999999937,0.0,4.4997311364078444e-05,2.308758524336209e-06,1.3635311278198246e-08,4.5056504323363036e-05
-0.8,-0.03199999999999936,0.0,4.504275005632908e-05,1.84743907940371e-06,1.0914046459416475e-08,4.508062203325783e-05
-0.8,-0.023999999999999355,0.0,4.507806499628847e-05,1.3858296416995586e-06,8.188913378898623e-09,4.509936290751482e-05
-0.8,-0.015999999999999348,0.0,4.5103275813778736e-05,9.240049832466669e-07,5.460883227674731e-09,4.511273993190957e-05
-0.8,-0.007999999999999341,0.0,4.511839662872809e-05,4.620379281159778e-07,2.7309236689359437e-09,4.5120762414349605e-05
-0.8,0.0,-0.8,7.473264444157091e-06,-1.181084856095744e-07,1.8155624748363097e-05,1.9633907941875712e-05
-0.8,0.0,-0.792,7.792284430784443e-06,-1.190142388830767e-07,1.8376984845754985e-05,1.9961148089736994e-05
-0.8,0.0,-0.784,8.12030440861831e-06,-1.1989918935500456e-07,1.859661915645123e-05,2.0292559315037686e-05
-0.8,0.0,-0.776,8.457416783728532e-06,-1.2076205329905336e-07,1.881422045819481e-05,2.062807246392077e-05
-0.8,0.0,-0.768,8.803701975673262e-06,-1.216015298521071e-07,1.9029469252070764e-05,2.0967609673590415e-05
-0.8,0.0,-0.76,9.159227369641754e-06,-1.2241630304743211e-07,1.9242034043502026e-05,2.1311084108776292e-05
-0.8,0.0,-0.752,9.524046254003702e-06,-1.2320504399153922e-07,1.945157170738344e-05,2.1658399719710292e-05
-0.8,0.0,-0.744,9.898196749910774e-06,-1.2396641318241138e-07,1.9657727942117458e-05,2.2009451024908528e-05
-0.8,0.0,-0.736,1.0281700740364765e-05,-1.2469906296544988e-07,1.9860137816879277e-05,2.236412292213044e-05
-0.8,0.0,-0.728,1.0674562806923083e-05,-1.254016401227807e-07,2.0058426415895124e-05,2.2722290530933943e-05
-0.8,0.0,-0.72,1.1076769182943068e-05,-1.2607278859006863e-07,2.025220958285927e-05,2.3083819070255182e-05
-0.8,0.0,-0.712,1.148828673295473e-05,-1.2671115229411128e-07,2.0441094767840185e-05,2.3448563774408932e-05
-0.8,0.0,-0.704,1.1909061968379603e-05,-1.273153781031013e-07,2.0624681978135484e-05,2.38163698508281e-05
-0.8,0.0,-0.696,1.2339020110364696e-05,-1.2788411888043216e-07,2.080256483352842e-05,2.4187072482733405e-05
-0.8,0.0,-0.688,1.2778064210953376e-05,-1.28416036631627e-07,2.0974331725281595e-05,2.4560496879743e-05
-0.8,0.0,-0.6799999999999999,1.3226074344152482e-05,-1.289098057329099e-07,2.1139567076984924e-05,2.4936458379196663e-05
-0.8,0.0,-0.6719999999999999,1.3682906878656648e-05,-1.293641162287583e-07,2.129785270406336e-05,2.5314762600675047e-05
-0.8,0.0,-0.6639999999999999,1.414839384403897e-05,-1.2977767718473945e-07,2.1448769267362994e-05,2.5695205655843863e-05
-0.8,0.0,-0.6559999999999999,1.4622342402094374e-05,-1.3014922008099087e-07,2.1591897814786448e-05,2.607757441534305e-05
-0.8,0.0,-0.6479999999999999,1.5104534434713779e-05,-1.3047750223062336e-07,2.1726821403465158e-05,2.64616468339768e-05
-0.8,0.0,-0.6399999999999999,1.5594726259161283e-05,-1.3076131020668242e-07,2.1853126793457314e-05,2.684719233494153e-05
-0.8,0.0,-0.6319999999999999,1.6092648480913547e-05,-1.309994632604742e-07,2.1970406202477587e-05,2.7233972253262825e-05
-0.8,0.0,-0.6239999999999999,1.659800599329592e-05,-1.3119081671344653e-07,2.2078259109724847e-05,2.7621740338002338e-05
-0.8,0.0,-0.6159999999999999,1.7110478132013674e-05,-1.313342653044598e-07,2.217629409551022e-05,2.8010243312151407e-05
-0.8,0.0,-0.6079999999999999,1.7629718991331726e-05,-1.3142874647382934e-07,2.226413070213293e-05,2.8399221488455987e-05
